codigo_modular;nombre_institucion;departamento;provincia;distrito;ruralidad;latitud;longitud;tipo_servicio_basico;descripcion_servicio_basico;CONSUMO;DEUDA;VALOR_TOTAL;INDICADOR_PAGO;DESCRIPCION_INDICADOR_PAGO;fecha_corte;registro_servicio_basico;carencia_confirmada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO FEBRERO 2022;1.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA I.E N° 206-SUGLLAQUIRO;0.00;0.00;296.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO MARZO 2022;19.00;0.00;25.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ABRL 2022;190.00;0.00;246.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ABRL 2022;0.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONUSMO MAYO 2022;139.00;0.00;141.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONUSMO MAYO 2022;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO JUNIO 2022;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO JUNIO 2022;147.00;0.00;150.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO AGOSTO 2022;72.00;0.00;79.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CORRESPONDIENTE AL MES DE JULIO 2022;113.00;0.00;118.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CORRESPONDIENTE AL MES DE JULIO 2022;0.00;0.00;6.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO AGOSTO 2022;0.00;0.00;7.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO SETIEMBRE 2022;116.00;0.00;126.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO SETIEMBRE 2022;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO OCTUBRE 2022;143.00;0.00;152.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO OCTUBRE 2022;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO NOVIEMBRE 2022;100.00;0.00;100.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO NOVIEMBRE 2022;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO DICIEMBRE 2022;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO DICIEMBRE 2022;121.00;0.00;257.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ENERO  2023;26.00;0.00;33.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO ENERO  2023;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO FEBRERO 2023;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO MARZO 2023;150.00;0.00;161.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO FEBRERO 2023;39.00;0.00;48.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO MARZO 2023;1.00;0.00;8.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO ABRIL 2023;342.00;0.00;352.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE LUZ NIVEL INICIAL CONSUMO ABRIL 2023;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICOI DE ENERGIA ELECTRICA NIVEL INICIAL CONUSMO MES DE MAYO 2023;0.00;0.00;7.00;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICOI DE ENERGIA ELECTRICA NIVEL INICIAL CONUSMO MES DE MAYO 2023;208.00;0.00;226.50;1;PAGO;20250525;Encontrado;No determinada
0657528;206;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;Rural;-5.9536;-76.9138;LUZ;SERVICIO DE ENERGIA ELECTRICA NIVEL INICIAL CONSUMO JUNIO 2023;170.00;0.00;184.00;1;PAGO;20250525;Encontrado;No determinada
